appendix_table,study,dv,term,sample,est_paper,se_paper,stars_paper
Appendix Table 1,concealed_carry,dv_gun_s,Z_gunrights,original,0.329,0.083,***
Appendix Table 1,concealed_carry,dv_gun_s,Z_gunrights,mt,0.214,0.051,***
Appendix Table 2,immigration,brader_num_imm_s,Z_brader_pos_negpositive,original,0.386,0.143,***
Appendix Table 2,immigration,brader_num_imm_s,Z_brader_pos_negpositive,mt,0.255,0.048,***
Appendix Table 2,immigration,brader_neg_impact_s,Z_brader_pos_negpositive,original,-0.277,0.129,**
Appendix Table 2,immigration,brader_neg_impact_s,Z_brader_pos_negpositive,mt,-0.224,0.043,***
Appendix Table 3,death_penalty,CP_dv_s,Z_CP_3race,original,0.417,0.095,***
Appendix Table 3,death_penalty,CP_dv_s,Z_CP_3race,mt,0.105,0.049,**
Appendix Table 4,superordinate_id,willing_s,Z_identityOther Americans,original,0.176,0.105,*
Appendix Table 4,superordinate_id,willing_s,Z_identityOther Americans,mt,-0.075,0.095,
Appendix Table 4,superordinate_id,willing_s,Z_particularismPublic Schools,original,0.161,0.105,
Appendix Table 4,superordinate_id,willing_s,Z_particularismPublic Schools,mt,0.191,0.095,**
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSC_MB,original,-0.376,0.124,***
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSC_MB,mt,-0.176,0.107,*
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSC_NO,original,-0.414,0.130,***
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSC_NO,mt,-0.390,0.109,***
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSC_OL,original,-0.450,0.125,***
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSC_OL,mt,-0.398,0.107,***
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSP_MB,original,0.330,0.125,***
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSP_MB,mt,0.202,0.108,*
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSP_NO,original,0.425,0.120,***
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSP_NO,mt,0.324,0.115,***
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSP_OL,original,0.335,0.122,***
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSP_OL,mt,0.275,0.111,**
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSP_SC_MB,original,-0.068,0.143,
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSP_SC_MB,mt,-0.100,0.118,
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSP_SC_NO,original,-0.077,0.158,
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSP_SC_NO,mt,0.014,0.126,
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSP_SC_OL,original,0.006,0.133,
Appendix Table 5,patriot_act,PA_support_s,T1_condition_nameSP_SC_OL,mt,-0.164,0.130,
Appendix Table 6,elite_endorsements,imm_dv_s,Z_matchin_party,original,0.229,0.086,***
Appendix Table 6,elite_endorsements,imm_dv_s,Z_matchin_party,mt,0.104,0.063,*
Appendix Table 6,elite_endorsements,fore_dv_s,Z_matchin_party,original,0.178,0.079,**
Appendix Table 6,elite_endorsements,fore_dv_s,Z_matchin_party,mt,0.108,0.065,*
Appendix Table 7,mental_illness,mcginty_magazines_s,Z_mcginty_news,original,0.113,0.044,**
Appendix Table 7,mental_illness,mcginty_magazines_s,Z_mcginty_news,mt,0.009,0.039,
Appendix Table 7,mental_illness,mcginty_magazines_s,Z_mcginty_policylcm,original,0.184,0.055,***
Appendix Table 7,mental_illness,mcginty_magazines_s,Z_mcginty_policylcm,mt,0.118,0.047,**
Appendix Table 7,mental_illness,mcginty_magazines_s,Z_mcginty_policymi,original,0.099,0.054,*
Appendix Table 7,mental_illness,mcginty_magazines_s,Z_mcginty_policymi,mt,-0.007,0.048,
Appendix Table 7,mental_illness,mcginty_SMI_danger_s,Z_mcginty_news,original,0.095,0.049,*
Appendix Table 7,mental_illness,mcginty_SMI_danger_s,Z_mcginty_news,mt,0.023,0.044,
Appendix Table 7,mental_illness,mcginty_SMI_danger_s,Z_mcginty_policylcm,original,-0.071,0.060,
Appendix Table 7,mental_illness,mcginty_SMI_danger_s,Z_mcginty_policylcm,mt,0.012,0.054,
Appendix Table 7,mental_illness,mcginty_SMI_danger_s,Z_mcginty_policymi,original,-0.121,0.061,**
Appendix Table 7,mental_illness,mcginty_SMI_danger_s,Z_mcginty_policymi,mt,-0.075,0.054,
Appendix Table 8,system_threat,craig_num_imm_s,Z_craigcraig_treatment,original,-0.003,0.095,
Appendix Table 8,system_threat,craig_num_imm_s,Z_craigcraig_treatment,mt,-0.222,0.073,***
Appendix Table 8,system_threat,craig_wol_s,Z_craigcraig_treatment,original,-0.144,0.110,
Appendix Table 8,system_threat,craig_wol_s,Z_craigcraig_treatment,mt,0.078,0.066,
Appendix Table 9,expert_economists,agree_1_s,Z_expert_1,original,0.138,0.113,
Appendix Table 9,expert_economists,agree_1_s,Z_expert_1,mt,0.327,0.036,***
Appendix Table 9,expert_economists,agree_2_s,Z_expert_2,original,0.150,0.100,
Appendix Table 9,expert_economists,agree_2_s,Z_expert_2,mt,0.345,0.036,***
