study,dv,term,sample,est_paper,se_paper,star_paper,entry_paper
concealed_carry,dv_gun_s,Z_gunrights,original,0.33,0.08,*,0.33 (0.08)*
concealed_carry,dv_gun_s,Z_gunrights,mt,0.21,0.05,*,0.21 (0.05)*
immigration,brader_neg_impact_s,Z_brader_pos_negpositive,original,-0.28,0.13,*,-0.28 (0.13)*
immigration,brader_neg_impact_s,Z_brader_pos_negpositive,mt,-0.22,0.04,*,-0.22 (0.04)*
immigration,brader_num_imm_s,Z_brader_pos_negpositive,original,0.39,0.14,*,0.39 (0.14)*
immigration,brader_num_imm_s,Z_brader_pos_negpositive,mt,0.26,0.05,*,0.26 (0.05)*
death_penalty,CP_dv_s,Z_CP_3race,original,0.42,0.09,*,0.42 (0.09)*
death_penalty,CP_dv_s,Z_CP_3race,mt,0.10,0.05,*,0.10 (0.05)*
superordinate_id,willing_s,Z_identityOther Americans,original,0.18,0.10,,0.18 (0.10)
superordinate_id,willing_s,Z_identityOther Americans,mt,-0.08,0.10,,-0.08 (0.10)
superordinate_id,willing_s,Z_particularismPublic Schools,original,0.16,0.10,,0.16 (0.10)
superordinate_id,willing_s,Z_particularismPublic Schools,mt,0.19,0.09,*,0.19 (0.09)*
patriot_act,PA_support_s,T1_condition_nameSP_SC_MB,original,-0.07,0.14,,-0.07 (0.14)
patriot_act,PA_support_s,T1_condition_nameSP_SC_MB,mt,-0.10,0.12,,-0.10 (0.12)
patriot_act,PA_support_s,T1_condition_nameSP_SC_NO,original,-0.08,0.16,,-0.08 (0.16)
patriot_act,PA_support_s,T1_condition_nameSP_SC_NO,mt,0.01,0.13,,0.01 (0.13)
patriot_act,PA_support_s,T1_condition_nameSP_SC_OL,original,0.01,0.13,,0.01 (0.13)
patriot_act,PA_support_s,T1_condition_nameSP_SC_OL,mt,-0.16,0.13,,-0.16 (0.13)
patriot_act,PA_support_s,T1_condition_nameSC_MB,original,-0.38,0.12,*,-0.38 (0.12)*
patriot_act,PA_support_s,T1_condition_nameSC_MB,mt,-0.18,0.11,,-0.18 (0.11)
patriot_act,PA_support_s,T1_condition_nameSC_NO,original,-0.41,0.13,*,-0.41 (0.13)*
patriot_act,PA_support_s,T1_condition_nameSC_NO,mt,-0.39,0.11,*,-0.39 (0.11)*
patriot_act,PA_support_s,T1_condition_nameSC_OL,original,-0.45,0.12,*,-0.45 (0.12)*
patriot_act,PA_support_s,T1_condition_nameSC_OL,mt,-0.40,0.11,*,-0.40 (0.11)*
patriot_act,PA_support_s,T1_condition_nameSP_MB,original,0.33,0.12,*,0.33 (0.12)*
patriot_act,PA_support_s,T1_condition_nameSP_MB,mt,0.20,0.11,,0.20 (0.11)
patriot_act,PA_support_s,T1_condition_nameSP_NO,original,0.43,0.12,*,0.43 (0.12)*
patriot_act,PA_support_s,T1_condition_nameSP_NO,mt,0.32,0.11,*,0.32 (0.11)*
patriot_act,PA_support_s,T1_condition_nameSP_OL,original,0.33,0.12,*,0.33 (0.12)*
patriot_act,PA_support_s,T1_condition_nameSP_OL,mt,0.27,0.11,*,0.27 (0.11)*
elite_endorsements,fore_dv_s,Z_matchin_party,original,0.18,0.08,*,0.18 (0.08)*
elite_endorsements,fore_dv_s,Z_matchin_party,mt,0.11,0.07,,0.11 (0.07)
elite_endorsements,imm_dv_s,Z_matchin_party,original,0.23,0.09,*,0.23 (0.09)*
elite_endorsements,imm_dv_s,Z_matchin_party,mt,0.10,0.06,,0.10 (0.06)
mental_illness,mcginty_magazines_s,Z_mcginty_policylcm,original,0.18,0.06,*,0.18 (0.06)*
mental_illness,mcginty_magazines_s,Z_mcginty_policylcm,mt,0.12,0.05,*,0.12 (0.05)*
mental_illness,mcginty_magazines_s,Z_mcginty_policymi,original,0.10,0.05,,0.10 (0.05)
mental_illness,mcginty_magazines_s,Z_mcginty_policymi,mt,-0.01,0.05,,-0.01 (0.05)
mental_illness,mcginty_magazines_s,Z_mcginty_news,original,0.11,0.04,*,0.11 (0.04)*
mental_illness,mcginty_magazines_s,Z_mcginty_news,mt,0.01,0.04,,0.01 (0.04)
mental_illness,mcginty_SMI_danger_s,Z_mcginty_policylcm,original,-0.07,0.06,,-0.07 (0.06)
mental_illness,mcginty_SMI_danger_s,Z_mcginty_policylcm,mt,0.01,0.05,,0.01 (0.05)
mental_illness,mcginty_SMI_danger_s,Z_mcginty_policymi,original,-0.12,0.06,*,-0.12 (0.06)*
mental_illness,mcginty_SMI_danger_s,Z_mcginty_policymi,mt,-0.08,0.05,,-0.08 (0.05)
mental_illness,mcginty_SMI_danger_s,Z_mcginty_news,original,0.09,0.05,,0.09 (0.05)
mental_illness,mcginty_SMI_danger_s,Z_mcginty_news,mt,0.02,0.04,,0.02 (0.04)
system_threat,craig_num_imm_s,Z_craigcraig_treatment,original,-0.00,0.10,,-0.00 (0.10)
system_threat,craig_num_imm_s,Z_craigcraig_treatment,mt,-0.22,0.07,*,-0.22 (0.07)*
system_threat,craig_wol_s,Z_craigcraig_treatment,original,-0.14,0.11,,-0.14 (0.11)
system_threat,craig_wol_s,Z_craigcraig_treatment,mt,0.08,0.07,,0.08 (0.07)
expert_economists,agree_5_s,Z_expert_5,original,0.38,0.11,*,0.38 (0.11)*
expert_economists,agree_5_s,Z_expert_5,mt,0.50,0.04,*,0.50 (0.04)*
expert_economists,agree_2_s,Z_expert_2,original,0.15,0.10,,0.15 (0.10)
expert_economists,agree_2_s,Z_expert_2,mt,0.34,0.04,*,0.34 (0.04)*
expert_economists,agree_1_s,Z_expert_1,original,0.14,0.11,,0.14 (0.11)
expert_economists,agree_1_s,Z_expert_1,mt,0.33,0.04,*,0.33 (0.04)*
expert_economists,agree_4_s,Z_expert_4,original,0.35,0.10,*,0.35 (0.10)*
expert_economists,agree_4_s,Z_expert_4,mt,0.44,0.04,*,0.44 (0.04)*
expert_economists,agree_3_s,Z_expert_3,original,0.24,0.10,*,0.24 (0.10)*
expert_economists,agree_3_s,Z_expert_3,mt,0.42,0.04,*,0.42 (0.04)*
free_trade,Y_Hiscox_s,Z_Hiscox_expert,original,0.25,0.06,*,0.25 (0.06)*
free_trade,Y_Hiscox_s,Z_Hiscox_expert,mt,0.28,0.03,*,0.28 (0.03)*
free_trade,Y_Hiscox_s,Z_Hiscox_expert,gfk,0.17,0.05,*,0.17 (0.05)*
free_trade,Y_Hiscox_s,Z_Hiscox_valencenegative,original,-0.28,0.08,*,-0.28 (0.08)*
free_trade,Y_Hiscox_s,Z_Hiscox_valencenegative,mt,-0.32,0.05,*,-0.32 (0.05)*
free_trade,Y_Hiscox_s,Z_Hiscox_valencenegative,gfk,-0.32,0.07,*,-0.32 (0.07)*
free_trade,Y_Hiscox_s,Z_Hiscox_valenceboth,original,-0.41,0.09,*,-0.41 (0.09)*
free_trade,Y_Hiscox_s,Z_Hiscox_valenceboth,mt,-0.33,0.05,*,-0.33 (0.05)*
free_trade,Y_Hiscox_s,Z_Hiscox_valenceboth,gfk,-0.23,0.07,*,-0.23 (0.07)*
free_trade,Y_Hiscox_s,Z_Hiscox_valencepositive,original,-0.17,0.08,*,-0.17 (0.08)*
free_trade,Y_Hiscox_s,Z_Hiscox_valencepositive,mt,-0.08,0.04,,-0.08 (0.04)
free_trade,Y_Hiscox_s,Z_Hiscox_valencepositive,gfk,-0.03,0.07,,-0.03 (0.07)
polarization,L_ex_s,Z_Levenduskypolarized,original,0.02,0.08,,0.02 (0.08)
polarization,L_ex_s,Z_Levenduskypolarized,mt,-0.05,0.04,,-0.05 (0.04)
polarization,L_ex_s,Z_Levenduskypolarized,gfk,0.05,0.06,,0.05 (0.06)
polarization,L_dif_s,Z_Levenduskypolarized,original,0.16,0.08,*,0.16 (0.08)*
polarization,L_dif_s,Z_Levenduskypolarized,mt,0.36,0.05,*,0.36 (0.05)*
polarization,L_dif_s,Z_Levenduskypolarized,gfk,0.47,0.08,*,0.47 (0.08)*
frame_breadth,Y_crime_s,Z_crime_Y_crime,original,0.06,0.05,,0.06 (0.05)
frame_breadth,Y_crime_s,Z_crime_Y_crime,mt,-0.01,0.05,,-0.01 (0.05)
frame_breadth,Y_crime_s,Z_crime_Y_crime,gfk,0.09,0.05,,0.09 (0.05)
frame_breadth,Y_health_s,Z_health_Y_health,original,-0.03,0.05,,-0.03 (0.05)
frame_breadth,Y_health_s,Z_health_Y_health,mt,-0.05,0.04,,-0.05 (0.04)
frame_breadth,Y_health_s,Z_health_Y_health,gfk,-0.03,0.05,,-0.03 (0.05)
frame_breadth,Y_stimulus_s,Z_stimulus_Y_stimulus,original,-0.16,0.04,*,-0.16 (0.04)*
frame_breadth,Y_stimulus_s,Z_stimulus_Y_stimulus,mt,-0.21,0.04,*,-0.21 (0.04)*
frame_breadth,Y_stimulus_s,Z_stimulus_Y_stimulus,gfk,-0.23,0.04,*,-0.23 (0.04)*
frame_breadth,Y_terror_s,Z_terror_Y_terror,original,0.25,0.05,*,0.25 (0.05)*
frame_breadth,Y_terror_s,Z_terror_Y_terror,mt,0.11,0.05,*,0.11 (0.05)*
frame_breadth,Y_terror_s,Z_terror_Y_terror,gfk,0.18,0.06,*,0.18 (0.06)*
