sampler,seed,sample,n_comparisons,n_sig,n_sig_holm
rejection,1,gfk,10,1,0
rejection,1,mt,40,10,7
rejection,1,original,40,1,0
rejection,2,gfk,10,1,0
rejection,2,mt,40,9,8
rejection,2,original,40,2,0
rejection,3,gfk,10,1,0
rejection,3,mt,40,9,8
rejection,3,original,40,1,0
rejection,4,gfk,10,1,0
rejection,4,mt,40,9,7
rejection,4,original,40,1,0
rejection,5,gfk,10,1,0
rejection,5,mt,40,9,7
rejection,5,original,40,1,0
rejection,6,gfk,10,1,0
rejection,6,mt,40,9,7
rejection,6,original,40,1,0
rejection,7,gfk,10,1,0
rejection,7,mt,40,9,8
rejection,7,original,40,1,0
rejection,8,gfk,10,1,0
rejection,8,mt,40,9,8
rejection,8,original,40,1,0
rejection,9,gfk,10,1,0
rejection,9,mt,40,9,7
rejection,9,original,40,1,0
rejection,10,gfk,10,1,0
rejection,10,mt,40,9,8
rejection,10,original,40,1,0
rejection,11,gfk,10,1,0
rejection,11,mt,40,10,7
rejection,11,original,40,1,0
rejection,12,gfk,10,1,0
rejection,12,mt,40,10,8
rejection,12,original,40,1,0
rejection,13,gfk,10,1,0
rejection,13,mt,40,9,8
rejection,13,original,40,1,0
rejection,14,gfk,10,1,0
rejection,14,mt,40,10,8
rejection,14,original,40,1,0
rejection,15,gfk,10,1,1
rejection,15,mt,40,10,8
rejection,15,original,40,2,0
rejection,343,gfk,10,1,0
rejection,343,mt,40,8,8
rejection,343,original,40,1,0
rounding,16,gfk,10,1,0
rounding,16,mt,40,8,8
rounding,16,original,40,1,0
rounding,17,gfk,10,1,0
rounding,17,mt,40,10,8
rounding,17,original,40,2,0
rounding,18,gfk,10,1,0
rounding,18,mt,40,8,7
rounding,18,original,40,2,0
rounding,19,gfk,10,1,0
rounding,19,mt,40,10,6
rounding,19,original,40,2,0
rounding,20,gfk,10,1,0
rounding,20,mt,40,10,8
rounding,20,original,40,1,0
rounding,21,gfk,10,1,0
rounding,21,mt,40,9,7
rounding,21,original,40,1,0
rounding,22,gfk,10,1,0
rounding,22,mt,40,10,8
rounding,22,original,40,2,0
rounding,343,gfk,10,1,0
rounding,343,mt,40,9,8
rounding,343,original,40,2,0
