study_factor,dv_name,coef_name,version,est,se,li,ui
Haider-Markel and Joslyn (2001),Support for Concealed Carry Law,Citizens' Rights Frame,Mechanical Turk,0.2137010913887652,0.0513163438352004,0.11312105747177241,0.31428112530575797
Haider-Markel and Joslyn (2001),Support for Concealed Carry Law,Citizens' Rights Frame,Original,0.3286208222951029,0.08349696032831475,0.16496678005160603,0.4922748645385998
Brader (2005),Support for Immigration,Positive Frame,Mechanical Turk,0.25544532059403247,0.047897705220727636,0.1615658183614063,0.34932482282665867
Brader (2005),Support for Immigration,Positive Frame,Original,0.38628696803251517,0.1434391772304927,0.10514618066074943,0.6674277554042809
Brader (2005),Negative Impact,Positive Frame,Mechanical Turk,-0.22428437578623026,0.04294731667022683,-0.30846111645987484,-0.14010763511258567
Brader (2005),Negative Impact,Positive Frame,Original,-0.276756362309795,0.12910259780924183,-0.5297974540159089,-0.023715270603681005
Peffley and Hurwitz (2007),Favor Death Penalty,African Americans,Mechanical Turk,0.10489531692918326,0.04896698823162719,0.00892001999519397,0.20087061386317256
Peffley and Hurwitz (2007),Favor Death Penalty,African Americans,Original,0.4170544865501384,0.09491087269613156,0.23102917606572052,0.6030797970345563
Transue (2007),Willingness to Pay Tax,Other Americans,Mechanical Turk,-0.07517906033674251,0.0950368618400158,-0.26145130954317347,0.11109318886968844
Transue (2007),Willingness to Pay Tax,Public Schools,Mechanical Turk,0.19097326441463697,0.09492859920941754,0.0049132099641786,0.37703331886509533
Transue (2007),Willingness to Pay Tax,Other Americans,Original,0.17575150746048915,0.10487822722785117,-0.029809817906099156,0.38131283282707745
Transue (2007),Willingness to Pay Tax,Public Schools,Original,0.16101988846839335,0.10471182355332213,-0.04421528569611802,0.36625506263290475
Chong and Druckman (2010),Patriot Act Support,Con / Memory Based,Mechanical Turk,-0.17634846550353056,0.10662036239740795,-0.38532437580245016,0.03262744479538901
Chong and Druckman (2010),Patriot Act Support,Con / No Processing,Mechanical Turk,-0.390342246955878,0.10897466011800726,-0.6039325807871723,-0.17675191312458377
Chong and Druckman (2010),Patriot Act Support,Con / Online Processing,Mechanical Turk,-0.39815006909426187,0.10672630329064385,-0.6073336235439238,-0.18896651464459993
Chong and Druckman (2010),Patriot Act Support,Pro / Memory Based,Mechanical Turk,0.20180093747407346,0.10790607143878365,-0.009694962545942487,0.4132968374940894
Chong and Druckman (2010),Patriot Act Support,Pro / No Processing,Mechanical Turk,0.324437673355909,0.1149349705067551,0.09916513116266903,0.549710215549149
Chong and Druckman (2010),Patriot Act Support,Pro / Online Processing,Mechanical Turk,0.27460536346401426,0.11064589795894007,0.05773940346449172,0.49147132346353684
Chong and Druckman (2010),Patriot Act Support,Both / Memory Based,Mechanical Turk,-0.10008982722113204,0.11777833079275923,-0.33093535557494014,0.13075570113267604
